Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,7.552734375,7.552734375,7.552734375,7.552734375,7.552734375
0.2,30.052734375,30.052734375,30.052734375,30.052734375,30.052734375
0.3,67.552734375,67.552734375,67.552734375,67.552734375,67.552734375
0.4,120.052734375,120.052734375,120.052734375,120.052734375,120.052734375
0.5,187.552734375,187.552734375,187.552734375,187.552734375,187.552734375
0.6,270.052734375,270.052734375,270.052734375,270.052734375,270.052734375
0.7,367.552734375,367.552734375,367.552734375,367.552734375,367.552734375
0.8,480.052734375,480.052734375,480.052734375,480.052734375,480.052734375
0.9,607.552734375,607.552734375,607.552734375,607.552734375,607.552734375
1,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
