Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,6.802734375,6.802734375,6.802734375,6.802734375,6.802734375
0.2,27.052734375,27.052734375,27.052734375,27.052734375,27.052734375
0.3,60.802734375,60.802734375,60.802734375,60.802734375,60.802734375
0.4,108.052734375,108.052734375,108.052734375,108.052734375,108.052734375
0.5,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
0.6,243.052734375,243.052734375,243.052734375,243.052734375,243.052734375
0.7,330.802734375,330.802734375,330.802734375,330.802734375,330.802734375
0.8,432.052734375,432.052734375,432.052734375,432.052734375,432.052734375
0.9,546.802734375,546.802734375,546.802734375,546.802734375,546.802734375
1,675.052734375,675.052734375,675.052734375,675.052734375,675.052734375
