Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.60811092403251,32.24855887578262,31.725687645273418,32.246165037194594,31.34595710857463
0.2,32.7208850391316,33.30692144670147,32.880788326695665,33.29874940519766,32.535848162673226
0.3,32.776455140922515,33.97217998192871,33.465266368213115,33.94511009724562,33.10539798081493
0.4,33.308399382949695,34.41172323455364,33.99631996131098,34.387941709929194,33.59163325441195
0.5,35.13875787222128,34.56561457994661,34.34731700355861,34.92415488741961,33.82674467765618
0.6,33.537684527501035,35.516620882550775,35.594663893567756,35.15860354835012,35.09430469581621
0.7,33.27726606101368,35.7075012786229,36.4980793187786,35.42089360432287,36.21509706215752
0.8,33.77653330547018,35.90406819800962,37.53701850428647,35.94067590375039,37.67126392263782
0.9,33.317006357527525,36.34281869063996,38.61340355914822,35.74189455329247,39.582772908501276
1,inf,inf,inf,inf,inf
