Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,50.654061053240746,44.24575520833333,48.57427806712963,45.81884403935185,52.153181423611116
0.2,35.831969039351854,31.443842592592596,34.098122106481476,33.39348958333334,37.0126953125
0.3,34.46656684027778,25.441673900462966,26.882510127314816,26.927010995370374,29.4806712962963
0.4,28.763731192129633,21.672233796296297,22.07527054398148,23.017508680555554,24.521468460648148
0.5,17.48833767361111,20.737731481481486,20.77395833333333,19.288140914351853,23.401539351851852
0.6,26.45983362268519,16.359850983796296,15.650535300925927,18.042601273148144,17.531925636574073
0.7,28.023043981481486,15.389709201388886,13.124045138888889,16.577599826388884,14.354295428240741
0.8,24.161368634259254,14.514445891203703,10.532395833333336,14.808020833333334,10.684868344907409
0.9,27.08049045138889,13.189901620370367,8.287873263888887,15.241393229166667,6.97607638888889
1,0.0,0.0,0.0,0.0,0.0
