Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
0.2,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
0.3,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
0.4,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
0.5,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
0.6,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
0.7,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
0.8,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
0.9,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
1,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
