Area_0.2,1,2,4,8,16,32
160x90,0.016,0.031,0.061,0.123,0.246,0.495
160x100,0.017,0.034,0.067,0.136,0.269,0.535
160x120,0.02,0.039,0.08,0.157,0.326,0.651
320x180,0.056,0.113,0.221,0.442,0.903,1.801
320x200,0.061,0.126,0.248,0.486,1.009,1.996
320x240,0.073,0.147,0.297,0.596,1.201,2.39
480x270,0.126,0.254,0.501,1.046,2.096,4.107
480x300,0.149,0.311,0.599,1.179,2.35,4.548
480x360,0.199,0.392,0.751,1.454,2.741,5.384
640x360,0.26,0.56,1.153,2.128,3.995,7.37
640x400,0.29,0.634,1.333,2.545,4.537,8.106
640x480,0.378,0.823,1.613,2.91,5.102,9.576
800x450,0.483,1.038,2.005,3.463,6.111,13.007
800x500,0.481,1.009,1.947,3.726,6.528,12.571
800x600,0.615,1.254,2.38,4.127,7.702,14.964
1024x576,0.697,1.375,2.528,4.545,9.827,21.088
1024x640,0.792,1.505,2.752,5.547,12.01,23.138
1024x768,0.946,1.768,3.36,7.038,14.096,27.072
1280x720,1.133,2.257,4.231,8.202,16.019,31.051
1280x800,1.152,2.179,4.4,8.891,17.475,33.37
1280x960,1.346,2.616,5.194,10.458,20.681,38.93
1440x900,1.485,2.761,5.776,11.536,21.523,42.272
1440x1080,1.656,3.129,6.439,12.797,24.988,48.644
1920x1080,1.992,3.934,7.785,15.51,30.849,61.397
