Cubic_0.3,1,2,4,8,16,32
160x90,0.008,0.015,0.03,0.058,0.116,0.236
160x100,0.009,0.016,0.031,0.063,0.122,0.251
160x120,0.009,0.018,0.038,0.072,0.147,0.288
320x180,0.023,0.045,0.09,0.181,0.35,0.699
320x200,0.024,0.049,0.093,0.186,0.368,0.739
320x240,0.028,0.056,0.109,0.218,0.438,0.874
480x270,0.044,0.092,0.171,0.369,0.709,1.475
480x300,0.052,0.109,0.224,0.461,0.931,1.779
480x360,0.068,0.134,0.28,0.585,1.133,2.023
640x360,0.083,0.189,0.391,0.793,1.43,2.54
640x400,0.091,0.201,0.434,0.84,1.537,2.846
640x480,0.11,0.246,0.506,0.944,1.721,3.292
800x450,0.072,0.115,0.225,0.472,1.016,2.038
800x500,0.095,0.134,0.281,0.473,0.994,2.063
800x600,0.095,0.174,0.304,0.597,1.255,2.393
1024x576,0.128,0.203,0.472,0.892,1.723,3.553
1024x640,0.133,0.295,0.432,1.037,2.018,4.52
1024x768,0.134,0.257,0.586,1.126,2.243,4.732
1280x720,0.174,0.29,0.602,1.385,2.597,5.258
1280x800,0.164,0.295,0.601,1.419,2.733,5.787
1280x960,0.167,0.348,0.696,1.391,3.171,5.528
1440x900,0.169,0.354,0.741,1.451,3.007,5.668
1440x1080,0.195,0.388,0.762,1.959,3.312,6.625
1920x1080,0.266,0.448,1.051,1.869,3.852,7.786
