Linear_1,1,2,4,8,16,32
160x90,0.003,0.005,0.009,0.017,0.036,0.069
160x100,0.003,0.005,0.009,0.018,0.035,0.069
160x120,0.003,0.005,0.01,0.019,0.038,0.075
320x180,0.005,0.011,0.021,0.041,0.082,0.166
320x200,0.006,0.012,0.025,0.048,0.094,0.195
320x240,0.007,0.014,0.028,0.057,0.118,0.244
480x270,0.015,0.03,0.054,0.108,0.215,0.495
480x300,0.017,0.034,0.064,0.134,0.306,0.656
480x360,0.019,0.04,0.081,0.186,0.382,0.784
640x360,0.026,0.058,0.125,0.272,0.566,1.069
640x400,0.028,0.063,0.136,0.303,0.609,1.126
640x480,0.033,0.071,0.163,0.335,0.651,1.215
800x450,0.039,0.091,0.187,0.397,0.746,1.357
800x500,0.04,0.091,0.191,0.404,0.769,1.482
800x600,0.05,0.114,0.239,0.5,0.931,1.765
1024x576,0.062,0.138,0.281,0.549,1.06,2.062
1024x640,0.072,0.156,0.315,0.611,1.221,2.335
1024x768,0.09,0.181,0.366,0.682,1.391,2.79
1280x720,0.099,0.259,0.425,0.802,1.62,3.138
1280x800,0.119,0.246,0.453,0.966,1.819,3.641
1280x960,0.153,0.294,0.568,1.11,2.301,4.775
1440x900,0.162,0.327,0.688,1.241,2.403,4.788
1440x1080,0.197,0.375,0.746,1.475,3.023,5.925
1920x1080,0.263,0.524,1.084,2.138,4.204,8.199
