Lanczos4_1,1,2,4,8,16,32
160x90,0.019,0.021,0.036,0.06,0.111,0.222
160x100,0.013,0.018,0.033,0.063,0.118,0.232
160x120,0.012,0.02,0.041,0.067,0.144,0.261
320x180,0.022,0.042,0.08,0.155,0.302,0.602
320x200,0.024,0.045,0.088,0.169,0.334,0.679
320x240,0.028,0.053,0.107,0.2,0.402,0.808
480x270,0.043,0.083,0.161,0.318,0.64,1.27
480x300,0.046,0.09,0.176,0.349,0.697,1.402
480x360,0.054,0.105,0.208,0.411,0.819,1.637
640x360,0.069,0.135,0.268,0.531,1.072,2.113
640x400,0.076,0.151,0.298,0.597,1.179,2.373
640x480,0.089,0.179,0.352,0.704,1.402,2.805
800x450,0.104,0.203,0.405,0.808,1.629,3.241
800x500,0.114,0.231,0.453,0.917,1.815,3.652
800x600,0.136,0.268,0.537,1.067,2.121,4.26
1024x576,0.166,0.334,0.669,1.321,2.633,5.281
1024x640,0.182,0.37,0.733,1.472,2.941,5.875
1024x768,0.217,0.444,0.873,1.776,3.506,7.006
1280x720,0.255,0.519,1.029,2.06,4.119,8.231
1280x800,0.282,0.575,1.134,2.281,4.558,9.14
1280x960,0.336,0.687,1.354,2.742,5.477,10.953
1440x900,0.354,0.708,1.415,2.83,5.695,11.35
1440x1080,0.431,0.854,1.697,3.38,6.793,13.582
1920x1080,0.568,1.115,2.26,4.5,9.017,18.011
