Linear_0.7,1,2,4,8,16,32
160x90,0.11,0.107,0.203,0.4,0.827,1.629
160x100,0.059,0.114,0.221,0.444,0.897,1.749
160x120,0.077,0.144,0.267,0.519,1.029,2.061
320x180,0.171,0.339,0.67,1.334,2.707,5.402
320x200,0.189,0.375,0.738,1.488,2.98,5.938
320x240,0.22,0.438,0.875,1.78,3.505,7.015
480x270,0.615,0.793,1.564,3.182,6.335,12.496
480x300,0.442,0.921,1.735,3.52,6.941,13.869
480x360,0.546,0.728,1.455,2.935,5.934,11.622
640x360,0.58,0.745,1.698,3.004,6.117,11.897
640x400,0.404,0.987,1.627,3.256,6.495,13.134
640x480,0.397,0.988,1.687,3.296,6.417,12.698
800x450,0.449,1.156,1.858,3.845,7.412,14.809
800x500,0.43,0.831,1.923,3.741,7.029,13.779
800x600,0.66,0.862,1.807,3.531,7.106,14.133
1024x576,0.932,1.468,2.978,5.895,11.737,23.704
1024x640,0.985,1.44,2.999,5.934,11.503,23.023
1024x768,1.13,1.508,3.085,5.934,11.702,23.283
1280x720,0.998,1.706,3.207,6.085,12.008,24.243
1280x800,0.975,1.716,3.194,6.211,12.404,24.919
1280x960,1.304,2.261,4.292,8.568,17.238,33.986
1440x900,1.495,2.312,4.363,8.806,17.267,34.49
1440x1080,1.338,2.491,4.533,8.876,18.001,35.695
1920x1080,2.861,2.998,6.167,12.344,23.756,47.74
