Linear_1,1,2,4,8,16,32
160x90,0.02,0.021,0.033,0.056,0.11,0.225
160x100,0.01,0.019,0.031,0.064,0.118,0.225
160x120,0.011,0.019,0.034,0.067,0.131,0.251
320x180,0.02,0.038,0.072,0.146,0.284,0.575
320x200,0.021,0.042,0.08,0.154,0.314,0.61
320x240,0.024,0.048,0.092,0.183,0.356,0.721
480x270,0.038,0.073,0.143,0.296,0.574,1.12
480x300,0.041,0.08,0.156,0.311,0.627,1.239
480x360,0.047,0.093,0.182,0.363,0.731,1.477
640x360,0.06,0.121,0.236,0.471,0.953,1.889
640x400,0.066,0.133,0.265,0.547,1.08,2.128
640x480,0.078,0.157,0.316,0.638,1.258,2.522
800x450,0.089,0.18,0.358,0.719,1.425,2.861
800x500,0.109,0.21,0.413,0.851,1.647,3.252
800x600,0.117,0.243,0.469,0.94,1.886,3.754
1024x576,0.143,0.289,0.595,1.203,2.372,4.76
1024x640,0.16,0.323,0.649,1.335,2.605,5.273
1024x768,0.189,0.385,0.777,1.576,3.137,6.29
1280x720,0.22,0.452,0.922,1.842,3.662,7.351
1280x800,0.244,0.497,1.02,2.056,4.091,8.199
1280x960,0.29,0.599,1.206,2.463,4.841,9.784
1440x900,0.306,0.638,1.244,2.505,5.011,9.988
1440x1080,0.373,0.783,1.512,3.029,5.991,11.996
1920x1080,0.498,1.01,1.994,4.024,8.0,16.063
