Nearest_1,1,2,4,8,16,32
160x90,0.021,0.022,0.033,0.057,0.111,0.21
160x100,0.012,0.017,0.033,0.062,0.12,0.227
160x120,0.012,0.019,0.035,0.066,0.133,0.25
320x180,0.02,0.038,0.071,0.144,0.278,0.556
320x200,0.022,0.042,0.086,0.164,0.306,0.635
320x240,0.025,0.048,0.093,0.182,0.37,0.735
480x270,0.037,0.073,0.159,0.288,0.568,1.182
480x300,0.041,0.082,0.158,0.308,0.625,1.237
480x360,0.047,0.094,0.183,0.364,0.741,1.478
640x360,0.06,0.121,0.248,0.493,0.947,1.928
640x400,0.067,0.132,0.263,0.542,1.084,2.131
640x480,0.079,0.157,0.314,0.661,1.253,2.484
800x450,0.09,0.179,0.355,0.729,1.437,2.87
800x500,0.1,0.207,0.399,0.829,1.638,3.25
800x600,0.117,0.235,0.492,0.964,1.884,3.779
1024x576,0.142,0.304,0.62,1.234,2.413,4.763
1024x640,0.159,0.335,0.703,1.353,2.632,5.293
1024x768,0.188,0.403,0.785,1.575,3.13,6.29
1280x720,0.22,0.468,0.906,1.849,3.657,7.331
1280x800,0.243,0.522,1.001,2.059,4.073,8.126
1280x960,0.289,0.629,1.235,2.451,4.841,9.71
1440x900,0.306,0.632,1.238,2.47,5.008,9.899
1440x1080,0.377,0.759,1.509,2.999,5.973,11.929
1920x1080,0.484,0.988,2.004,4.002,7.942,15.781
