Cubic_0.9,1,2,4,8,16,32
160x90,0.021,0.041,0.082,0.165,0.342,0.657
160x100,0.022,0.044,0.088,0.183,0.355,0.696
160x120,0.026,0.051,0.103,0.204,0.407,0.826
320x180,0.065,0.134,0.261,0.527,1.055,2.146
320x200,0.072,0.146,0.291,0.59,1.146,2.378
320x240,0.085,0.17,0.342,0.685,1.415,2.842
480x270,0.135,0.27,0.538,1.098,2.326,4.554
480x300,0.157,0.328,0.664,1.29,2.646,4.938
480x360,0.208,0.412,0.826,1.594,3.07,6.056
640x360,0.127,0.198,0.4,0.83,1.907,4.263
640x400,0.109,0.2,0.434,0.974,2.135,4.243
640x480,0.095,0.226,0.472,1.0,2.148,4.132
800x450,0.156,0.278,0.597,1.232,2.321,4.772
800x500,0.158,0.254,0.504,1.196,2.513,6.164
800x600,0.157,0.354,0.557,1.347,3.833,7.227
1024x576,0.592,1.264,2.557,5.25,10.612,21.674
1024x640,0.683,1.403,2.901,5.899,11.607,23.007
1024x768,0.678,1.449,2.831,5.813,11.362,25.141
1280x720,0.444,0.991,1.52,2.489,4.87,11.687
1280x800,0.331,0.649,1.777,2.624,5.901,11.492
1280x960,0.362,0.795,1.514,2.741,6.088,11.583
1440x900,0.405,0.707,1.622,3.41,6.146,12.264
1440x1080,0.41,0.819,1.85,3.592,7.018,13.327
1920x1080,0.526,1.086,2.166,4.803,9.089,17.665
