Nearest_0.1,1,2,4,8,16,32
160x90,0.008,0.004,0.008,0.015,0.029,0.058
160x100,0.003,0.004,0.008,0.016,0.029,0.058
160x120,0.003,0.004,0.009,0.017,0.033,0.063
320x180,0.005,0.007,0.012,0.024,0.047,0.093
320x200,0.004,0.006,0.013,0.025,0.049,0.095
320x240,0.004,0.007,0.014,0.027,0.052,0.103
480x270,0.006,0.009,0.017,0.033,0.067,0.135
480x300,0.005,0.01,0.019,0.037,0.072,0.146
480x360,0.007,0.011,0.022,0.043,0.083,0.158
640x360,0.007,0.013,0.025,0.047,0.095,0.184
640x400,0.007,0.013,0.026,0.05,0.102,0.193
640x480,0.008,0.015,0.028,0.056,0.109,0.203
800x450,0.008,0.016,0.031,0.059,0.113,0.212
800x500,0.009,0.016,0.033,0.065,0.122,0.229
800x600,0.009,0.018,0.037,0.074,0.138,0.248
1024x576,0.011,0.022,0.044,0.082,0.15,0.298
1024x640,0.012,0.024,0.047,0.089,0.167,0.334
1024x768,0.013,0.028,0.057,0.105,0.196,0.401
1280x720,0.015,0.046,0.07,0.12,0.225,0.427
1280x800,0.016,0.038,0.067,0.128,0.249,0.502
1280x960,0.025,0.043,0.08,0.157,0.318,0.615
1440x900,0.026,0.048,0.094,0.169,0.321,0.588
1440x1080,0.027,0.053,0.095,0.186,0.351,0.662
1920x1080,0.04,0.075,0.155,0.29,0.52,0.989
