Area_0.8,1,2,4,8,16,32
160x90,0.132,0.127,0.238,0.471,0.941,1.875
160x100,0.065,0.121,0.234,0.467,0.935,1.877
160x120,0.07,0.142,0.277,0.542,1.092,2.159
320x180,0.261,0.444,0.715,1.456,2.883,5.786
320x200,0.199,0.401,0.79,1.58,3.214,6.361
320x240,0.236,0.545,0.934,1.889,3.768,7.533
480x270,0.661,1.059,1.668,3.386,6.783,13.715
480x300,0.472,0.95,1.852,3.732,7.443,14.911
480x360,0.399,0.936,1.578,3.177,6.402,12.648
640x360,0.401,1.036,1.583,3.292,6.474,12.678
640x400,0.443,1.042,1.736,3.611,7.078,14.141
640x480,0.434,1.05,1.807,3.733,7.125,13.776
800x450,0.495,1.183,1.992,4.076,8.017,15.908
800x500,0.472,1.091,1.815,4.003,7.571,14.518
800x600,0.493,1.224,2.054,3.813,7.642,15.272
1024x576,0.813,1.806,3.205,6.224,12.317,24.601
1024x640,0.812,1.863,3.227,6.322,12.587,25.061
1024x768,0.822,1.889,3.327,6.524,12.944,25.9
1280x720,0.843,1.935,3.352,6.7,13.65,26.661
1280x800,0.83,1.972,3.529,6.842,13.533,26.292
1280x960,1.164,2.745,4.724,9.406,18.694,37.319
1440x900,1.189,2.64,4.754,9.38,18.787,37.595
1440x1080,1.212,3.217,5.249,9.86,19.262,38.311
1920x1080,3.67,3.526,6.88,13.072,25.853,51.752
