Cubic_0.1,1,2,4,8,16,32
160x90,0.013,0.01,0.017,0.032,0.056,0.114
160x100,0.01,0.011,0.017,0.034,0.056,0.115
160x120,0.01,0.011,0.021,0.033,0.064,0.124
320x180,0.016,0.019,0.031,0.061,0.111,0.208
320x200,0.018,0.021,0.033,0.063,0.115,0.227
320x240,0.02,0.023,0.039,0.069,0.133,0.247
480x270,0.029,0.036,0.06,0.101,0.192,0.386
480x300,0.031,0.042,0.069,0.123,0.246,0.488
480x360,0.035,0.047,0.082,0.161,0.302,0.547
640x360,0.039,0.059,0.107,0.203,0.385,0.668
640x400,0.038,0.063,0.115,0.219,0.401,0.716
640x480,0.043,0.072,0.132,0.241,0.419,0.767
800x450,0.043,0.076,0.135,0.242,0.422,0.769
800x500,0.047,0.078,0.137,0.25,0.462,0.789
800x600,0.051,0.089,0.159,0.297,0.516,0.929
1024x576,0.053,0.107,0.201,0.347,0.662,1.381
1024x640,0.09,0.129,0.221,0.36,0.71,1.445
1024x768,0.091,0.158,0.305,0.593,1.072,2.18
1280x720,0.091,0.184,0.344,0.636,1.201,2.681
1280x800,0.093,0.178,0.381,0.728,1.351,2.671
1280x960,0.104,0.202,0.38,0.771,1.4,2.863
1440x900,0.11,0.228,0.442,0.808,1.56,3.013
1440x1080,0.123,0.241,0.455,0.869,1.631,3.295
1920x1080,0.144,0.253,0.525,1.056,1.933,3.794
