Cubic_1,1,2,4,8,16,32
160x90,0.003,0.005,0.009,0.018,0.036,0.069
160x100,0.003,0.005,0.009,0.018,0.035,0.068
160x120,0.003,0.005,0.01,0.019,0.038,0.077
320x180,0.005,0.01,0.021,0.041,0.083,0.174
320x200,0.006,0.012,0.025,0.047,0.098,0.203
320x240,0.007,0.014,0.028,0.055,0.12,0.257
480x270,0.013,0.026,0.051,0.106,0.222,0.428
480x300,0.016,0.032,0.061,0.12,0.25,0.473
480x360,0.019,0.039,0.073,0.141,0.281,0.556
640x360,0.028,0.061,0.134,0.273,0.585,1.148
640x400,0.033,0.066,0.15,0.325,0.651,1.247
640x480,0.036,0.083,0.18,0.383,0.744,1.405
800x450,0.045,0.111,0.225,0.447,0.824,1.54
800x500,0.049,0.114,0.208,0.47,0.864,1.639
800x600,0.059,0.132,0.276,0.548,1.022,1.86
1024x576,0.071,0.149,0.296,0.578,1.11,2.322
1024x640,0.083,0.167,0.329,0.677,1.247,2.516
1024x768,0.098,0.203,0.379,0.764,1.486,3.057
1280x720,0.117,0.262,0.519,0.86,1.713,3.704
1280x800,0.134,0.27,0.5,1.012,1.952,4.082
1280x960,0.159,0.305,0.566,1.201,2.541,5.045
1440x900,0.169,0.343,0.638,1.234,2.547,5.252
1440x1080,0.201,0.402,0.764,1.552,3.068,5.877
1920x1080,0.28,0.538,1.143,2.17,4.219,8.264
