Linear_0.2,1,2,4,8,16,32
160x90,0.004,0.008,0.015,0.03,0.059,0.118
160x100,0.004,0.008,0.016,0.031,0.06,0.121
160x120,0.004,0.009,0.017,0.034,0.067,0.132
320x180,0.008,0.017,0.033,0.064,0.127,0.248
320x200,0.009,0.019,0.036,0.069,0.137,0.275
320x240,0.01,0.021,0.04,0.08,0.155,0.315
480x270,0.015,0.03,0.061,0.126,0.227,0.476
480x300,0.017,0.034,0.069,0.141,0.286,0.584
480x360,0.02,0.04,0.088,0.182,0.36,0.659
640x360,0.024,0.054,0.112,0.24,0.488,0.865
640x400,0.026,0.06,0.126,0.282,0.508,0.888
640x480,0.031,0.072,0.153,0.298,0.55,0.96
800x450,0.035,0.08,0.167,0.325,0.585,1.078
800x500,0.038,0.084,0.182,0.342,0.636,1.177
800x600,0.045,0.102,0.207,0.392,0.689,1.337
1024x576,0.054,0.119,0.238,0.429,0.796,1.692
1024x640,0.059,0.136,0.253,0.458,0.996,1.985
1024x768,0.071,0.155,0.298,0.58,1.101,2.334
1280x720,0.086,0.202,0.353,0.677,1.297,2.471
1280x800,0.105,0.193,0.361,0.765,1.412,2.786
1280x960,0.13,0.227,0.434,0.868,1.708,3.322
1440x900,0.131,0.22,0.459,0.904,1.69,3.451
1440x1080,0.136,0.244,0.505,0.974,1.94,3.826
1920x1080,0.189,0.354,0.736,1.412,2.757,5.303
