Nearest_0.3,1,2,4,8,16,32
160x90,0.003,0.007,0.013,0.025,0.049,0.097
160x100,0.003,0.006,0.013,0.026,0.052,0.101
160x120,0.004,0.007,0.015,0.03,0.057,0.113
320x180,0.007,0.014,0.028,0.055,0.113,0.221
320x200,0.008,0.015,0.03,0.059,0.119,0.235
320x240,0.009,0.017,0.035,0.07,0.137,0.272
480x270,0.013,0.026,0.051,0.1,0.2,0.393
480x300,0.015,0.028,0.059,0.124,0.236,0.453
480x360,0.018,0.035,0.072,0.147,0.274,0.543
640x360,0.022,0.047,0.095,0.178,0.349,0.669
640x400,0.024,0.049,0.101,0.201,0.386,0.723
640x480,0.027,0.058,0.116,0.225,0.428,0.826
800x450,0.031,0.066,0.133,0.255,0.487,0.94
800x500,0.033,0.071,0.144,0.278,0.529,1.027
800x600,0.038,0.084,0.172,0.337,0.614,1.212
1024x576,0.047,0.104,0.205,0.391,0.736,1.507
1024x640,0.049,0.116,0.226,0.417,0.878,1.73
1024x768,0.06,0.139,0.278,0.529,1.004,2.112
1280x720,0.075,0.187,0.346,0.626,1.219,2.226
1280x800,0.076,0.18,0.332,0.692,1.364,2.666
1280x960,0.129,0.227,0.464,0.927,1.831,3.736
1440x900,0.137,0.237,0.496,0.946,1.93,3.842
1440x1080,0.15,0.288,0.558,1.096,2.263,4.371
1920x1080,0.15,0.296,0.596,1.167,2.347,4.614
