size,image_quality,1,2,4,8,16,32
14400,160x90,0,0,1,1,2,5
16000,160x100,0,0,1,1,2,6
19200,160x120,0,0,1,4,2,6
43200,240x180,0,1,1,2,4,17
57600,320x180,0,1,1,5,12,30
64000,320x200,0,1,1,6,6,23
76800,320x240,1,1,1,5,15,34
129600,480x270,1,1,2,9,31,82
144000,480x300,1,1,2,12,36,87
172800,480x360,1,2,3,16,40,86
230400,640x360,1,2,4,27,49,119
256000,640x400,1,2,12,27,52,119
307200,640x480,1,3,17,39,80,152
360000,800x450,4,9,14,36,82,177
400000,800x500,2,6,23,53,100,180
480000,800x600,2,8,28,59,110,215
589824,1024x576,3,13,40,67,141,274
655360,1024x640,3,15,35,78,171,313
786432,1024x768,13,15,48,101,174,364
921600,1280x720,11,19,66,112,211,473
1024000,1280x800,10,29,73,131,240,572
1228800,1280x960,17,43,84,165,382,859
1296000,1440x900,19,44,86,165,410,1212
1555200,1440x1080,25,46,106,202,367,1369
2073600,1920x1080,31,71,143,260,813,2080
