size,image_quality,1,2,4,8,16,32
14400,160x90,0,0,1,7,2,4
16000,160x100,0,0,1,1,2,5
19200,160x120,0,0,1,1,2,5
43200,240x180,0,2,1,2,4,9
57600,320x180,0,1,1,2,5,10
64000,320x200,0,1,1,3,5,11
76800,320x240,2,1,1,3,8,17
129600,480x270,1,1,2,4,11,24
144000,480x300,1,1,2,6,13,34
172800,480x360,1,2,3,9,18,32
230400,640x360,1,2,4,10,21,61
256000,640x400,1,2,7,15,28,76
307200,640x480,1,3,5,16,37,81
360000,800x450,2,3,6,16,53,103
400000,800x500,2,4,9,18,60,74
480000,800x600,2,4,17,35,43,133
589824,1024x576,5,5,18,39,86,392
655360,1024x640,3,8,24,48,98,414
786432,1024x768,6,11,30,41,76,434
921600,1280x720,7,11,24,76,131,384
1024000,1280x800,7,16,39,84,209,582
1228800,1280x960,11,21,48,101,462,1304
1296000,1440x900,8,27,52,101,505,1259
1555200,1440x1080,13,24,50,133,467,1950
2073600,1920x1080,18,39,82,326,618,2127
