size,image_quality,1,2,4,8,16,32
14400,160x90,0,0,1,1,3,5
16000,160x100,0,0,1,2,4,5
19200,160x120,0,1,1,2,3,5
43200,240x180,0,1,2,3,5,9
57600,320x180,1,2,2,3,9,21
64000,320x200,1,1,2,5,6,12
76800,320x240,1,1,3,4,7,14
129600,480x270,1,3,5,6,16,38
144000,480x300,1,2,3,6,13,4709
172800,480x360,1,2,5,9,18,36
230400,640x360,2,3,6,12,23,46
256000,640x400,2,3,14,30,26,72
307200,640x480,3,8,8,16,31,114
360000,800x450,2,5,9,18,46,71
400000,800x500,3,11,10,20,42,139
480000,800x600,6,6,12,24,103,92
589824,1024x576,4,14,15,29,57,238
655360,1024x640,4,8,16,32,62,245
786432,1024x768,5,10,19,38,76,332
921600,1280x720,6,12,23,45,88,174
1024000,1280x800,6,13,43,49,133,192
1228800,1280x960,8,15,53,131,116,463
1296000,1440x900,14,16,32,74,275,242
1555200,1440x1080,10,19,38,72,4796,442
2073600,1920x1080,13,27,49,7364,272,626
