size,image_quality,1,2,4,8,16,32
14400,160x90,637,1287,1785,4113,10097,17147
19200,160x120,556,1221,1909,4065,9649,17135
25344,176x144,584,1098,1921,4071,8475,16776
43200,240x180,534,1051,1891,4070,8487,17068
57600,320x180,744,1126,1779,3969,9950,17335
76800,320x240,615,1087,1757,3971,10036,16798
129600,480x270,588,1171,1926,3710,10096,16945
172800,480x360,683,1259,1843,4007,10111,16870
230400,640x360,581,1042,2006,4057,9926,17090
307200,640x480,657,1057,1793,3894,10307,17197
360000,800x450,694,983,2059,3929,9998,17677
480000,800x600,545,1067,1836,3815,10051,17793
655360,1024x640,586,1052,1859,3883,9839,17834
786432,1024x768,738,1283,1943,3978,9980,17791
921600,1280x720,670,1029,1901,3943,10123,17830
1024000,1280x800,524,1194,1735,3888,10494,17751
1228800,1280x960,537,1291,1905,4019,10583,17661
