size,image_quality,1,2,4,8,16,32
14400,160x90,2247,4498,9052,17982,35959,72010
19200,160x120,1882,3710,7422,14833,29698,59389
25344,176x144,1618,3296,6842,13714,26371,54616
43200,240x180,1859,5112,7441,14858,29743,59553
57600,320x180,2245,4502,8970,17955,35880,71850
76800,320x240,1793,3593,7194,14365,28697,57422
129600,480x270,2262,4484,8993,18024,36063,71918
172800,480x360,1859,3713,7440,14928,29762,59495
230400,640x360,2242,4504,8997,19416,36021,71989
307200,640x480,1865,3735,7445,14892,29819,59638
360000,800x450,2244,4490,8978,17993,35867,71910
480000,800x600,1819,3716,7450,14895,29809,59483
655360,1024x640,2163,4298,8548,17795,34673,68400
786432,1024x768,1858,3646,7106,14870,30466,58003
921600,1280x720,2240,4492,8994,17997,35875,72535
1024000,1280x800,2196,4441,8870,17852,35444,70984
1228800,1280x960,1800,3609,7198,14410,28830,57613
