size,image_quality,1,2,4,8,16,32
14400,160x90,11,12,128,620,27,37
16000,160x100,10,12,14,22,26,292
19200,160x120,11,12,16,23,32,44
43200,240x180,13,17,22,35,45,68
57600,320x180,14,19,24,34,51,82
64000,320x200,16,500,26,40,56,90
76800,320x240,16,21,29,39,61,318
129600,480x270,21,29,38,58,91,858
144000,480x300,22,28,42,62,102,767
172800,480x360,25,33,46,77,813,706
230400,640x360,26,37,54,301,152,295
256000,640x400,498,46,59,564,172,1764
307200,640x480,34,45,68,110,205,604
360000,800x450,33,66,74,125,1501,1620
400000,800x500,36,56,78,134,253,1241
480000,800x600,39,59,91,153,535,1107
589824,1024x576,742,777,108,412,832,3494
655360,1024x640,48,72,573,206,391,1509
786432,1024x768,56,82,134,471,728,1666
921600,1280x720,57,89,152,746,1040,1323
1024000,1280x800,66,793,861,804,1114,4584
1228800,1280x960,70,110,193,545,1217,4020
1296000,1440x900,70,567,206,837,2155,1723
1555200,1440x1080,82,823,462,701,1854,5093
2073600,1920x1080,1217,624,340,2630,4384,4446
