size,image_quality,1,2,4,8,16,32
14400,160x90,150,157,164,215,306,494
16000,160x100,151,159,179,225,323,525
19200,160x120,159,168,205,251,352,590
43200,240x180,151,158,184,220,355,592
57600,320x180,157,156,182,227,334,526
64000,320x200,153,158,182,224,339,557
76800,320x240,150,161,187,239,361,610
129600,480x270,152,159,184,231,344,555
144000,480x300,154,162,185,240,362,603
172800,480x360,152,153,195,250,395,667
230400,640x360,148,160,179,224,328,525
256000,640x400,149,156,179,229,342,554
307200,640x480,152,160,187,240,366,602
360000,800x450,162,183,217,276,405,676
400000,800x500,157,167,200,261,400,711
480000,800x600,159,172,199,286,438,785
589824,1024x576,156,170,207,286,432,765
655360,1024x640,159,172,214,288,464,815
786432,1024x768,149,178,225,319,514,925
921600,1280x720,161,161,203,287,454,773
1024000,1280x800,179,192,232,307,493,853
1228800,1280x960,162,180,225,314,530,956
1296000,1440x900,166,184,243,349,577,1044
1555200,1440x1080,170,197,259,385,647,1210
2073600,1920x1080,169,198,257,395,677,1295
