size,image_quality,1,2,4,8,16,32
14400,160x90,0,1,0,1,2,3
16000,160x100,0,0,1,1,1,3
19200,160x120,0,0,1,1,2,4
43200,240x180,0,1,1,2,3,5
57600,320x180,0,1,1,2,4,7
64000,320x200,1,1,2,2,4,7
76800,320x240,0,1,1,2,5,8
129600,480x270,1,1,2,4,7,14
144000,480x300,1,1,2,4,8,16
172800,480x360,1,1,3,5,10,21
230400,640x360,1,2,4,7,14,30
256000,640x400,1,2,4,7,15,36
307200,640x480,1,2,4,9,18,37
360000,800x450,1,3,5,11,23,48
400000,800x500,1,3,6,11,24,53
480000,800x600,2,3,7,14,30,67
589824,1024x576,2,4,9,19,36,85
655360,1024x640,2,5,9,19,39,144
786432,1024x768,3,6,12,25,50,174
921600,1280x720,3,7,14,31,59,244
1024000,1280x800,3,7,14,28,72,276
1228800,1280x960,4,9,17,41,118,376
1296000,1440x900,4,9,18,42,86,455
1555200,1440x1080,5,11,23,49,189,564
2073600,1920x1080,7,15,29,67,304,1206
