size,image_quality,1,2,4,8,16,32
14400,160x90,-11,-13,-8,-11,-16,-12
16000,160x100,-16,-8,-14,-11,-12,-7
19200,160x120,-14,-14,-14,-9,-15,-12
43200,240x180,-10,-11,-11,-11,-5,-10
57600,320x180,-9,-14,-8,-9,-12,-11
64000,320x200,-2,-12,-10,-5,-14,-12
76800,320x240,-3,-15,-13,-14,-14,-14
129600,480x270,-11,-10,-14,-11,-13,-9
144000,480x300,-10,-8,-13,-9,-9,-3
172800,480x360,-12,-12,-5,-2,-12,-6
230400,640x360,-10,-10,-13,2,-11,-5
256000,640x400,-13,-6,-11,-12,-5,5
307200,640x480,-12,-13,-12,-12,-4,7
360000,800x450,-13,-14,-11,-4,8,6
400000,800x500,-12,-14,-10,-13,0,11
480000,800x600,-14,-13,-12,-10,1,13
589824,1024x576,-7,-14,-13,-11,5,28
655360,1024x640,-11,-4,-10,-4,2,28
786432,1024x768,-5,-11,1,-1,10,37
921600,1280x720,-10,-8,-13,3,10,46
1024000,1280x800,-12,-13,-11,7,12,52
1228800,1280x960,-10,-11,-10,0,27,57
1296000,1440x900,-8,-8,-7,-5,32,57
1555200,1440x1080,-12,-4,-1,11,38,69
2073600,1920x1080,-6,-10,3,27,50,110
