size,image_quality,1,2,4,8,16,32
14400,160x90,143,153,225,279,349,374
19200,160x120,145,186,245,318,384,535
25344,176x144,150,197,278,362,520,743
43200,240x180,186,257,312,418,628,834
57600,320x180,224,278,315,479,621,722
76800,320x240,246,322,397,550,805,983
129600,480x270,319,378,534,677,991,1166
172800,480x360,326,430,579,714,912,1304
230400,640x360,355,504,656,576,1437,1596
307200,640x480,420,529,758,924,1215,1604
360000,800x450,466,674,718,1219,1422,1926
480000,800x600,526,619,901,1095,1479,2265
655360,1024x640,545,857,972,1334,1648,2659
786432,1024x768,655,843,1024,1697,2169,2870
921600,1280x720,629,859,1094,1591,1813,2925
1024000,1280x800,556,1083,1273,1665,2320,3275
1228800,1280x960,827,1144,1360,1653,2381,3788
