size,image_quality,1,2,4,8,16,32
14400,160x90,0,0,0,1,1,3
16000,160x100,0,0,0,1,1,3
19200,160x120,0,0,1,1,2,3
43200,240x180,0,0,1,1,3,6
57600,320x180,0,1,1,2,4,7
64000,320x200,0,1,1,2,4,8
76800,320x240,0,1,1,2,5,9
129600,480x270,1,1,2,4,7,14
144000,480x300,1,1,2,4,8,18
172800,480x360,1,1,3,5,11,22
230400,640x360,1,2,4,9,14,32
256000,640x400,1,2,4,8,16,39
307200,640x480,1,2,5,9,19,38
360000,800x450,1,3,5,11,24,51
400000,800x500,1,3,6,13,28,55
480000,800x600,2,4,7,14,33,76
589824,1024x576,2,4,9,19,41,90
655360,1024x640,2,5,10,22,38,88
786432,1024x768,3,7,12,26,55,124
921600,1280x720,3,8,13,32,65,150
1024000,1280x800,4,9,15,30,69,131
1228800,1280x960,5,9,18,41,80,195
1296000,1440x900,5,10,18,42,80,231
1555200,1440x1080,5,12,26,49,102,349
2073600,1920x1080,8,16,30,66,142,1117
