size,image_quality,1,2,4,8,16,32
14400,160x90,143,153,224,284,341,346
19200,160x120,146,188,244,313,345,554
25344,176x144,148,197,288,353,533,777
43200,240x180,188,250,313,415,621,834
57600,320x180,226,273,303,502,679,597
76800,320x240,242,330,406,566,825,1105
129600,480x270,327,381,545,772,1108,1371
172800,480x360,319,413,603,779,891,1345
230400,640x360,349,526,699,453,1387,1725
307200,640x480,413,488,807,1021,1385,1809
360000,800x450,477,649,741,1204,1569,2004
480000,800x600,550,704,997,1235,1777,2296
655360,1024x640,552,818,1080,1494,1927,2704
786432,1024x768,635,890,1173,1826,2226,2958
921600,1280x720,687,949,1167,1698,1853,3021
1024000,1280x800,489,1123,1294,1799,2450,3365
1228800,1280x960,802,1235,1501,1931,2566,3834
