size,image_quality,1,2,4,8,16,32
14400,160x90,0,0,1,1,2,7
16000,160x100,0,0,1,1,2,5
19200,160x120,0,0,1,1,2,19
43200,240x180,0,1,1,2,4,18
57600,320x180,0,1,3,5,11,21
64000,320x200,0,1,1,2,11,29
76800,320x240,0,1,1,3,19,35
129600,480x270,1,1,2,9,28,78
144000,480x300,1,3,6,14,32,64
172800,480x360,1,2,3,14,57,88
230400,640x360,1,2,12,25,43,118
256000,640x400,1,2,10,23,68,123
307200,640x480,1,3,9,38,148,153
360000,800x450,4,5,15,34,81,159
400000,800x500,4,6,20,46,92,179
480000,800x600,2,9,27,60,106,232
589824,1024x576,2,14,42,80,135,282
655360,1024x640,3,14,44,85,165,358
786432,1024x768,3,20,36,104,198,403
921600,1280x720,10,28,59,102,375,417
1024000,1280x800,10,29,55,132,239,572
1228800,1280x960,15,39,85,156,450,817
1296000,1440x900,16,43,72,153,391,1198
1555200,1440x1080,26,47,108,190,371,1477
2073600,1920x1080,25,87,157,265,824,2078
