size,image_quality,1,2,4,8,16,32
14400,160x90,7,9,5,5,7,7
19200,160x120,10,11,12,10,7,6
25344,176x144,10,6,5,5,11,6
43200,240x180,8,11,8,7,13,8
57600,320x180,9,14,6,8,8,11
76800,320x240,6,6,6,12,9,13
129600,480x270,8,7,12,9,9,13
172800,480x360,13,42,7,12,66,13
230400,640x360,6,16,8,10,21,16
307200,640x480,10,10,8,7,15,16
360000,800x450,12,12,10,20,15,37
480000,800x600,17,8,13,8,24,37
655360,1024x640,6,11,11,15,32,52
786432,1024x768,7,14,49,24,33,65
921600,1280x720,20,16,15,13,39,66
1024000,1280x800,7,53,12,20,33,80
1228800,1280x960,7,11,11,34,54,87
