size,image_quality,1,2,4,8,16,32
14400,160x90,272,282,414,479,526,619
16000,160x100,266,281,405,514,566,610
19200,160x120,271,343,425,611,627,597
43200,240x180,347,406,493,590,724,748
57600,320x180,403,453,553,648,740,941
64000,320x200,402,482,564,592,1027,847
76800,320x240,445,483,594,647,872,881
129600,480x270,475,532,608,752,823,1076
144000,480x300,489,647,627,1025,886,1178
172800,480x360,528,627,693,1102,908,1399
230400,640x360,532,862,707,797,1061,1583
256000,640x400,547,669,981,806,1098,2729
307200,640x480,548,787,829,1476,1253,2461
360000,800x450,746,672,760,932,2346,2171
400000,800x500,603,668,779,1711,2474,2300
480000,800x600,795,959,1093,2655,2647,2699
589824,1024x576,1063,721,872,1189,1794,3139
655360,1024x640,664,1719,2137,1311,1970,3342
786432,1024x768,886,1220,997,3086,3384,4972
921600,1280x720,702,884,1001,1627,2630,5748
1024000,1280x800,1379,845,1073,1677,3878,5494
1228800,1280x960,1122,907,1199,3697,3412,6174
1296000,1440x900,1120,2129,2142,1971,3524,6985
1555200,1440x1080,1626,1053,1473,3353,4032,8145
2073600,1920x1080,2007,1135,1724,2972,6184,12704
