size,image_quality,1,2,4,8,16,32
14400,160x90,0,2,1,1,2,4
19200,160x120,0,0,1,1,3,5
25344,176x144,0,0,1,1,3,6
43200,240x180,0,1,3,2,4,8
57600,320x180,0,1,1,2,7,10
76800,320x240,0,1,1,3,6,17
129600,480x270,1,1,2,4,11,26
172800,480x360,1,2,3,7,13,40
230400,640x360,1,2,5,10,24,59
307200,640x480,1,4,7,15,42,90
360000,800x450,2,4,17,26,60,112
480000,800x600,2,5,17,34,68,133
655360,1024x640,6,8,24,47,98,176
786432,1024x768,3,11,31,60,118,214
921600,1280x720,4,15,28,71,137,520
1024000,1280x800,4,15,39,80,207,499
1228800,1280x960,8,20,47,93,144,809
