size,image_quality,1,2,4,8,16,32
14400,160x90,144,152,226,290,325,427
16000,160x100,144,157,235,299,327,391
19200,160x120,146,185,239,300,358,415
43200,240x180,189,253,307,418,575,682
57600,320x180,219,274,334,414,640,707
64000,320x200,224,299,367,485,633,919
76800,320x240,243,289,348,490,697,835
129600,480x270,286,360,374,591,764,1175
144000,480x300,304,383,501,619,641,990
172800,480x360,332,383,526,627,1004,1321
230400,640x360,347,441,513,741,827,1458
256000,640x400,363,482,706,1124,1099,1619
307200,640x480,364,448,776,814,1540,2244
360000,800x450,380,495,604,1091,1643,2256
400000,800x500,449,543,848,929,1814,2259
480000,800x600,480,675,783,1315,1955,3474
589824,1024x576,452,564,953,1368,2293,3834
655360,1024x640,447,872,1078,1340,2021,4021
786432,1024x768,603,729,1064,1496,2782,5098
921600,1280x720,609,888,1065,1810,3215,6671
1024000,1280x800,685,869,786,1685,3276,3583
1228800,1280x960,810,912,1167,2007,3907,8089
1296000,1440x900,803,955,1570,2020,4694,9654
1555200,1440x1080,834,1073,1640,2767,5114,12127
2073600,1920x1080,976,1243,1895,3297,6830,14943
