size,image_quality,1,2,4,8,16,32
14400,160x90,2231,4458,8920,18036,35957,71538
19200,160x120,1818,3618,7233,14632,29089,57945
25344,176x144,1654,3329,6619,13355,26613,53918
43200,240x180,1827,3789,7302,14603,29195,58416
57600,320x180,2251,4502,9002,18003,36008,72033
76800,320x240,1832,3656,7271,14557,29285,58502
129600,480x270,2252,4507,8981,18031,36002,72118
172800,480x360,1834,3671,7338,14696,29358,58731
230400,640x360,2253,4508,8975,18136,36080,72117
307200,640x480,1835,3671,7336,14667,29348,58706
360000,800x450,2238,4495,8985,18004,35974,71916
480000,800x600,1828,3657,7322,14718,29321,58593
655360,1024x640,2179,4379,8765,17666,35118,70069
786432,1024x768,1827,3631,7261,14617,29357,58253
921600,1280x720,2249,4498,8981,18020,36008,72016
1024000,1280x800,2206,4393,8818,17783,35383,70808
1228800,1280x960,1833,3666,7335,14668,29327,58683
