size,image_quality,1,2,4,8,16,32
14400,160x90,268,284,406,528,618,689
19200,160x120,269,347,428,517,633,679
25344,176x144,275,350,479,582,638,861
43200,240x180,345,461,557,605,774,1129
57600,320x180,407,507,586,705,930,1035
76800,320x240,441,530,600,737,1057,1228
129600,480x270,511,597,673,872,961,1572
172800,480x360,543,635,705,865,1324,1342
230400,640x360,610,742,727,1039,1213,1982
307200,640x480,592,783,988,1113,1525,2400
360000,800x450,665,787,846,1353,2124,2738
480000,800x600,654,797,1351,1121,2203,3154
655360,1024x640,759,910,1221,1625,3142,3678
786432,1024x768,766,945,1637,1708,2418,4689
921600,1280x720,836,926,1603,1760,3307,5360
1024000,1280x800,801,1096,1592,2361,2879,5401
1228800,1280x960,897,1129,1652,2211,3525,6475
