TP- resolution/model,yolov5,ssd,retinanet
160x90,0.0,0.0,0.0
160x100,0.224,0.516,0.995
160x120,0.0,0.0,0.0
240x180,1.0,1.0,0.0
320x180,0.932,2.0,0.177
320x200,1.0,1.0,0.0
320x240,2.0,1.365,0.0
480x270,1.005,0.995,0.026
480x300,3.031,4.0,0.469
480x360,3.0,3.0,0.0
640x360,4.0,4.0,0.979
640x400,3.849,4.036,0.0
640x480,3.0,3.0,0.0
800x450,4.271,4.25,0.823
800x500,3.12,2.922,0.198
800x600,3.703,2.0,0.0
1024x576,3.01,3.0,0.021
1024x640,3.891,2.891,0.005
1024x768,4.755,1.917,0.479
1280x720,3.0,3.0,0.0
1280x800,4.948,3.062,0.13
1280x960,3.505,2.0,0.109
1440x900,4.818,3.0,0.688
1440x1080,3.125,2.0,0.0
1920x1080,1.828,2.448,0.099
