accuracy- resolution/model,yolov5,ssd,retinanet
160x90,0.0,0.0,0.0
160x100,0.0,0.013,0.004
160x120,0.0,0.0,0.0
240x180,0.5,0.05,0.0
320x180,0.875,0.1,0.0
320x200,0.25,0.05,0.0
320x240,1.0,0.062,0.0
480x270,0.333,0.05,0.0
480x300,0.713,0.2,0.004
480x360,0.75,0.15,0.0
640x360,1.0,0.2,0.006
640x400,1.0,0.2,0.0
640x480,0.6,0.15,0.0
800x450,1.0,0.2,0.006
800x500,0.5,0.15,0.0
800x600,0.518,0.1,0.0
1024x576,0.5,0.15,0.0
1024x640,0.571,0.15,0.0
1024x768,0.625,0.1,0.003
1280x720,0.429,0.15,0.0
1280x800,0.714,0.15,0.0
1280x960,0.438,0.1,0.0
1440x900,0.714,0.15,0.006
1440x1080,0.402,0.1,0.0
1920x1080,0.65,0.113,0.0
