FN- resolution/model,yolov5,ssd,retinanet
160x90,0.0,1.0,0.0
160x100,0.0,0.0,1.0
160x120,0.0,1.0,2.0
240x180,1.25,1.0,4.0
320x180,0.0,2.0,4.0
320x200,1.0,2.0,3.0
320x240,0.0,1.0,3.25
480x270,0.5,2.0,4.0
480x300,1.0,2.0,3.0
480x360,0.0,1.0,5.0
640x360,2.0,2.0,6.0
640x400,1.0,2.0,3.75
640x480,0.0,1.0,6.0
800x450,2.0,2.0,6.0
800x500,1.0,2.0,3.0
800x600,0.0,1.0,6.0
1024x576,0.0,2.0,5.0
1024x640,1.0,2.0,3.0
1024x768,0.0,1.0,5.0
1280x720,1.0,3.0,6.0
1280x800,1.0,1.0,5.0
1280x960,0.75,1.75,4.0
1440x900,1.0,1.0,5.0
1440x1080,0.25,1.25,5.0
1920x1080,1.0,1.0,5.0
