FP- resolution/model,yolov5,ssd,retinanet
160x90,2.0,7.0,298.75
160x100,3.0,19.0,279.75
160x120,1.75,19.0,218.0
240x180,2.0,16.0,147.25
320x180,0.75,16.0,161.75
320x200,0.25,18.0,175.5
320x240,2.0,16.75,155.25
480x270,1.0,16.0,175.75
480x300,2.0,18.0,166.0
480x360,2.0,15.0,164.75
640x360,1.0,14.0,203.5
640x400,3.5,17.25,180.75
640x480,1.0,14.0,267.25
800x450,1.0,14.5,298.0
800x500,6.0,18.0,212.25
800x600,2.0,14.0,299.0
1024x576,2.0,15.0,298.0
1024x640,6.0,18.0,299.0
1024x768,2.0,15.0,296.25
1280x720,2.0,15.0,298.0
1280x800,2.0,14.0,263.75
1280x960,3.0,17.0,268.75
1440x900,2.0,14.0,270.5
1440x1080,2.0,16.0,299.75
1920x1080,1.0,15.0,299.0
