recall- resolution/model,yolov5,ssd,retinanet
160x90,1.0,0.0,1.0
160x100,1.0,1.0,0.0
160x120,1.0,0.5,0.0
240x180,0.671,0.8,0.2
320x180,1.0,0.667,0.333
320x200,0.75,0.5,0.25
320x240,1.0,0.762,0.237
480x270,0.917,0.667,0.333
480x300,0.75,0.5,0.25
480x360,1.0,0.833,0.167
640x360,0.75,0.75,0.25
640x400,0.788,0.575,0.213
640x480,1.0,0.857,0.143
800x450,0.75,0.732,0.25
800x500,0.75,0.5,0.25
800x600,1.0,0.857,0.143
1024x576,1.0,0.714,0.286
1024x640,0.75,0.5,0.25
1024x768,1.0,0.833,0.167
1280x720,0.875,0.625,0.25
1280x800,0.857,0.839,0.321
1280x960,0.85,0.637,0.15
1440x900,0.857,0.857,0.286
1440x1080,0.958,0.742,0.042
1920x1080,0.833,0.833,0.167
