FN- resolution/model,yolov5,ssd,retinanet
160x90,0.0,0.0,0.0
160x100,1.745,1.453,0.974
160x120,0.0,0.0,0.0
240x180,0.0,0.0,1.0
320x180,1.276,0.208,2.031
320x200,0.0,0.0,1.0
320x240,1.005,1.641,3.005
480x270,0.938,0.948,1.917
480x300,1.646,0.677,4.208
480x360,0.99,0.99,3.99
640x360,0.979,0.979,4.0
640x400,1.271,1.083,5.12
640x480,0.0,0.0,3.0
800x450,1.979,2.0,5.427
800x500,0.167,0.365,3.089
800x600,0.255,1.958,3.958
1024x576,0.0,0.01,2.99
1024x640,0.0,1.0,3.885
1024x768,0.0,2.839,4.276
1280x720,0.0,0.0,3.0
1280x800,0.13,2.016,4.948
1280x960,0.109,1.615,3.505
1440x900,0.74,2.557,4.87
1440x1080,0.0,1.125,3.125
1920x1080,1.323,0.703,3.052
