FP- resolution/model,yolov5,ssd,retinanet
160x90,1.672,7.297,296.146
160x100,3.271,19.13,277.109
160x120,1.635,18.99,216.896
240x180,2.042,16.37,148.151
320x180,0.656,16.359,161.125
320x200,0.5,18.0,175.359
320x240,1.854,16.5,155.24
480x270,0.979,15.797,175.479
480x300,1.964,18.0,165.443
480x360,1.958,14.995,164.125
640x360,1.0,13.891,202.323
640x400,4.25,17.526,179.542
640x480,1.516,14.193,267.141
800x450,0.927,14.432,294.979
800x500,5.719,18.0,212.443
800x600,1.724,13.828,296.385
1024x576,1.99,15.047,298.0
1024x640,5.615,17.823,298.984
1024x768,2.5,14.771,293.615
1280x720,2.146,14.677,297.927
1280x800,2.052,14.323,260.604
1280x960,2.901,17.005,269.661
1440x900,2.339,14.339,272.281
1440x1080,1.964,16.203,299.484
1920x1080,1.0,15.042,299.0
