TP- resolution/model,yolov5,ssd,retinanet
160x90,1.021,0.021,1.0
160x100,0.911,0.87,0.042
160x120,1.797,1.01,0.0
240x180,3.104,3.63,0.911
320x180,5.177,3.641,1.724
320x200,3.0,2.0,1.0
320x240,4.417,3.5,1.0
480x270,5.656,4.203,1.99
480x300,3.0,2.0,1.0
480x360,5.802,5.005,1.0
640x360,6.12,6.109,2.0
640x400,3.474,2.474,1.0
640x480,6.562,5.807,1.0
800x450,5.661,5.568,1.979
800x500,3.0,2.0,1.0
800x600,7.052,6.172,1.0
1024x576,6.948,4.953,2.0
1024x640,3.177,2.177,1.0
1024x768,6.188,5.229,1.01
1280x720,7.016,5.323,2.073
1280x800,5.938,5.677,2.188
1280x960,3.995,2.995,0.672
1440x900,5.661,5.661,2.0
1440x1080,4.792,3.797,0.401
1920x1080,5.0,4.958,1.0
