accuracy- resolution/model,yolov5,ssd,retinanet
160x90,0.391,0.003,0.003
160x100,0.219,0.043,0.0
160x120,0.528,0.051,0.0
240x180,0.601,0.182,0.006
320x180,0.894,0.182,0.011
320x200,0.888,0.1,0.006
320x240,0.707,0.175,0.006
480x270,0.851,0.21,0.011
480x300,0.617,0.1,0.006
480x360,0.751,0.25,0.006
640x360,0.859,0.305,0.01
640x400,0.461,0.124,0.006
640x480,0.813,0.29,0.004
800x450,0.859,0.278,0.007
800x500,0.346,0.1,0.005
800x600,0.805,0.309,0.003
1024x576,0.778,0.248,0.007
1024x640,0.362,0.109,0.003
1024x768,0.72,0.261,0.003
1280x720,0.768,0.266,0.007
1280x800,0.743,0.284,0.008
1280x960,0.581,0.15,0.002
1440x900,0.708,0.283,0.007
1440x1080,0.712,0.19,0.001
1920x1080,0.833,0.248,0.003
