recall- resolution/model,yolov5,ssd,retinanet
160x90,1.0,0.01,0.99
160x100,0.87,0.849,0.021
160x120,0.971,0.578,0.0
240x180,0.692,0.798,0.202
320x180,0.968,0.68,0.32
320x200,0.75,0.5,0.25
320x240,0.986,0.773,0.227
480x270,0.912,0.674,0.321
480x300,0.75,0.5,0.25
480x360,0.973,0.83,0.17
640x360,0.755,0.752,0.247
640x400,0.774,0.547,0.226
640x480,0.969,0.85,0.15
800x450,0.743,0.728,0.26
800x500,0.75,0.5,0.25
800x600,0.985,0.86,0.14
1024x576,0.999,0.711,0.289
1024x640,0.772,0.526,0.245
1024x768,0.994,0.838,0.163
1280x720,0.873,0.664,0.258
1280x800,0.86,0.825,0.317
1280x960,0.866,0.649,0.134
1440x900,0.849,0.849,0.302
1440x1080,0.93,0.735,0.07
1920x1080,0.832,0.825,0.166
