size,image_quality,1,2,4,8,16,32
14400,160x90,141,151,224,274,313,412
16000,160x100,142,155,228,286,313,400
19200,160x120,146,185,246,294,358,501
43200,240x180,182,258,296,376,505,847
57600,320x180,212,277,365,379,451,701
64000,320x200,226,283,398,504,761,1031
76800,320x240,233,305,399,366,701,1049
129600,480x270,301,363,527,758,1011,1268
144000,480x300,287,337,529,735,1010,1355
172800,480x360,327,429,578,795,1048,1555
230400,640x360,370,503,722,802,1312,1707
256000,640x400,399,537,395,1066,1193,1841
307200,640x480,383,563,825,1171,1475,1864
360000,800x450,436,494,797,1190,1437,1694
400000,800x500,462,600,1115,1235,1642,2238
480000,800x600,526,775,722,1330,1753,2359
589824,1024x576,547,796,963,1428,1739,2404
655360,1024x640,516,756,1149,1518,1913,2685
786432,1024x768,615,925,1147,1558,2161,2885
921600,1280x720,730,751,1306,1641,2026,3296
1024000,1280x800,685,781,1313,1748,2500,3431
1228800,1280x960,780,1187,1463,1788,2439,3846
1296000,1440x900,647,1166,1530,1903,2587,3692
1555200,1440x1080,851,1174,1191,1976,2879,4667
2073600,1920x1080,808,1442,1825,2327,3472,6590
