size,image_quality,1,2,4,8,16,32
14400,160x90,5025,10747,21227,43000,83327,170798
19200,160x120,4369,9050,18849,37411,73098,147812
25344,176x144,4038,8319,16513,34349,67572,135944
43200,240x180,4476,8884,18302,37103,74339,148877
57600,320x180,5045,10431,20470,42386,83402,169115
76800,320x240,4353,9134,18282,37153,73574,149474
129600,480x270,4899,10337,20611,41475,82380,165000
172800,480x360,4483,9154,18464,37070,73580,147205
230400,640x360,4931,10396,21272,42151,82415,165804
307200,640x480,4384,9062,18266,37567,72172,147423
360000,800x450,4817,10352,20917,42534,84178,169861
480000,800x600,4274,9004,18637,36499,73015,148805
655360,1024x640,4953,10250,20594,42109,82781,167944
786432,1024x768,4373,9301,18256,37075,73781,145579
921600,1280x720,4924,10326,20702,41460,84570,169167
1024000,1280x800,4907,10318,21023,42642,83158,167111
1228800,1280x960,4360,9220,18700,37102,71705,145847
