size,image_quality,1,2,4,8,16,32
14400,160x90,0,0,0,1,1,3
19200,160x120,0,0,1,1,2,3
25344,176x144,0,0,1,1,2,4
43200,240x180,0,0,1,1,3,5
57600,320x180,0,1,1,2,3,7
76800,320x240,0,1,1,2,4,9
129600,480x270,1,1,2,3,7,13
172800,480x360,1,1,3,5,10,25
230400,640x360,1,2,3,7,13,33
307200,640x480,1,2,5,11,18,41
360000,800x450,1,3,5,10,21,49
480000,800x600,2,3,7,13,28,65
655360,1024x640,2,5,9,19,39,152
786432,1024x768,3,6,11,26,47,182
921600,1280x720,3,7,13,30,55,265
1024000,1280x800,4,7,14,30,63,288
1228800,1280x960,4,9,17,40,79,395
