size,image_quality,1,2,4,8,16,32
14400,160x90,0,1,1,2,2,6
19200,160x120,0,1,1,2,3,6
25344,176x144,0,1,1,3,3,6
43200,240x180,0,1,2,3,5,9
57600,320x180,1,1,2,3,9,17
76800,320x240,1,2,3,5,8,18
129600,480x270,1,2,3,6,11,23
172800,480x360,2,3,8,16,18,36
230400,640x360,2,3,6,12,23,46
307200,640x480,4,4,8,16,32,61
360000,800x450,3,5,9,22,36,77
480000,800x600,3,9,12,24,47,167
655360,1024x640,4,8,16,32,64,153
786432,1024x768,5,10,20,53,76,151
921600,1280x720,6,12,23,45,88,227
1024000,1280x800,7,13,25,50,103,194
1228800,1280x960,8,15,30,59,134,267
