size,image_quality,1,2,4,8,16,32
14400,160x90,0,1,1,1,2,6
19200,160x120,0,0,1,2,2,9
25344,176x144,1,1,1,1,3,11
43200,240x180,1,1,2,2,5,16
57600,320x180,0,1,2,4,15,34
76800,320x240,1,1,2,4,15,34
129600,480x270,1,1,3,10,35,71
172800,480x360,1,2,6,19,43,90
230400,640x360,1,2,8,23,65,129
307200,640x480,1,3,17,33,80,153
360000,800x450,4,6,19,42,87,178
480000,800x600,2,9,23,55,118,232
655360,1024x640,3,17,41,85,163,363
786432,1024x768,8,23,45,99,198,387
921600,1280x720,12,26,59,123,234,587
1024000,1280x800,9,33,65,132,250,601
1228800,1280x960,17,37,90,165,400,877
