size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32
14400,160x90,343,410,658,1005,1757,3397,,14400,160x90,216,285,472,782,1497,3073,,14400,160x90,600,1170,1721,3126,11797,14783,,14400,160x90,451,630,1103,1911,4004,8289,,14400,160x90,324,505,917,1688,3744,7965,,14400,160x90,656,1138,1876,4022,10107,17209,,14400,160x90,2522,4781,9418,18542,36644,72877,,14400,160x90,2395,4656,9232,18319,36384,72553,,14400,160x90,5252,10573,21214,42629,83010,167219
16000,160x100,360,432,703,1074,1895,3634,,16000,160x100,235,306,512,886,1641,3477,,16000,160x100,771,1309,1705,3348,12175,15476,,16000,160x100,451,632,1116,1926,4052,8247,,16000,160x100,326,506,925,1738,3798,8090,,16000,160x100,618,1194,1859,4011,10142,17163,,16000,160x100,2476,4702,9299,18287,36001,71507,,16000,160x100,2351,4576,9108,18099,35747,71350,,16000,160x100,5094,10367,20798,42300,81488,165617
19200,160x120,372,515,745,1168,2181,4225,,19200,160x120,247,356,556,939,1935,3922,,19200,160x120,782,1297,1935,3713,12530,16279,,19200,160x120,453,695,1121,1944,4072,8358,,19200,160x120,328,536,932,1715,3826,8055,,19200,160x120,594,1146,1929,4011,10087,16844,,19200,160x120,2113,3951,7652,15008,30109,58535,,19200,160x120,1988,3792,7463,14779,29863,58232,,19200,160x120,4479,9150,18437,36898,73541,149357
43200,240x180,434,606,852,1239,2238,4764,,43200,240x180,276,403,605,1027,2032,3974,,43200,240x180,751,1317,1952,3679,12519,16270,,43200,240x180,529,800,1242,2033,4247,8876,,43200,240x180,371,597,995,1821,4041,8086,,43200,240x180,585,1216,1872,4013,8539,17047,,43200,240x180,2210,4166,7986,15506,30482,60753,,43200,240x180,2052,3963,7739,15294,30276,59963,,43200,240x180,4519,9070,17866,36926,73590,149048
57600,320x180,482,633,867,1126,1936,3607,,57600,320x180,297,401,591,1014,1812,3685,,57600,320x180,645,1205,1733,3226,11825,14894,,57600,320x180,590,853,1312,2029,4182,8509,,57600,320x180,405,621,1036,1917,4058,8587,,57600,320x180,569,1129,1887,4067,10160,17215,,57600,320x180,2658,4999,9639,18623,36741,72923,,57600,320x180,2473,4767,9363,18511,36617,73001,,57600,320x180,5067,10583,21014,42414,84512,169155
64000,320x200,499,690,965,1239,2309,5009,,64000,320x200,321,447,671,1094,2136,3965,,64000,320x200,677,1298,1859,3253,12199,15542,,64000,320x200,589,887,1375,2089,4395,9633,,64000,320x200,411,644,1081,1944,4222,8589,,64000,320x200,581,1136,1927,3990,10165,17155,,64000,320x200,2625,4970,9585,18498,36453,73325,,64000,320x200,2447,4727,9291,18353,36280,72281,,64000,320x200,5003,10311,20652,42170,85197,166569
76800,320x240,527,727,882,1306,2457,4451,,76800,320x240,343,474,722,1205,2188,4147,,76800,320x240,667,1250,1983,3691,12545,16334,,76800,320x240,608,905,1255,2073,4333,8553,,76800,320x240,424,652,1095,1972,4064,8249,,76800,320x240,594,1179,1914,3978,10062,17142,,76800,320x240,2288,4233,7916,15408,30687,59645,,76800,320x240,2104,3980,7756,15307,30418,59341,,76800,320x240,4401,9000,18239,36953,72985,146383
129600,480x270,575,730,915,1264,2102,3860,,129600,480x270,382,574,758,1206,2285,4150,,129600,480x270,701,1214,1704,3257,11853,14913,,129600,480x270,670,934,1341,2169,4289,8731,,129600,480x270,477,778,1184,2111,4472,9021,,129600,480x270,745,1141,1848,4029,10228,17323,,129600,480x270,2747,5112,9699,18947,37080,73584,,129600,480x270,2554,4956,9542,18889,37263,73874,,129600,480x270,5090,10322,21034,43136,85104,171318
144000,480x300,567,742,952,1303,2308,4180,,144000,480x300,381,555,759,1310,1967,4487,,144000,480x300,683,1270,1805,3434,12205,15602,,144000,480x300,671,951,1375,2163,4426,8766,,144000,480x300,485,764,1182,2170,4085,9073,,144000,480x300,557,1162,1886,4050,10179,17293,,144000,480x300,2709,5039,9575,18526,36457,72215,,144000,480x300,2523,4852,9382,18533,36116,72522,,144000,480x300,4892,10084,20859,42036,84232,168027
172800,480x360,656,801,1063,1421,2480,5341,,172800,480x360,431,530,908,1532,2735,5025,,172800,480x360,760,1208,1954,3739,12577,16435,,172800,480x360,736,977,1432,2182,4410,9430,,172800,480x360,511,706,1277,2293,4665,9114,,172800,480x360,603,1143,1915,4032,10234,17494,,172800,480x360,2362,4298,8070,15446,30344,60573,,172800,480x360,2137,4027,7915,15557,30599,60257,,172800,480x360,4201,9195,17927,37651,74357,147142
230400,640x360,706,830,1092,1344,2285,5595,,230400,640x360,460,660,981,1544,2575,4525,,230400,640x360,653,1244,1787,3291,11922,15122,,230400,640x360,801,1035,1517,2231,4508,10454,,230400,640x360,555,865,1406,2431,4798,9384,,230400,640x360,617,1171,1904,4012,10178,17684,,230400,640x360,2877,5194,9835,18883,37173,75041,,230400,640x360,2631,5024,9724,19083,37463,73971,,230400,640x360,5009,10707,21014,42387,83736,168706
256000,640x400,691,842,1337,2489,2490,6391,,256000,640x400,484,699,1050,1617,2424,4789,,256000,640x400,723,1233,1878,3498,12301,15832,,256000,640x400,781,1038,1743,3331,4601,11015,,256000,640x400,574,895,1456,2459,4535,9413,,256000,640x400,637,1243,1909,4000,10256,17592,,256000,640x400,2823,5136,9970,19755,36757,74538,,256000,640x400,2616,4993,9683,18883,36691,72936,,256000,640x400,4994,10129,20817,41997,82281,167283
