size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32
11,11kb,154,222,294,325,487,670,,11,11kb,91,125,169,201,312,452,,11,11kb,157,164,174,221,313,486,,11,11kb,151,216,283,299,431,548,,11,11kb,88,119,158,175,256,330,,11,11kb,32,34,32,34,38,43,,11,11kb,186,295,449,642,1125,1946,,11,11kb,123,198,324,518,950,1728,,11,11kb,214,399,759,1458,2915,5732
13,13kb,215,224,301,392,528,703,,13,13kb,120,128,175,240,335,488,,13,13kb,160,176,183,231,340,526,,13,13kb,211,216,285,359,457,556,,13,13kb,116,120,159,207,264,341,,13,13kb,33,35,30,33,39,42,,13,13kb,247,296,453,704,1154,1962,,13,13kb,152,200,327,552,961,1747,,13,13kb,216,400,765,1459,2931,5748
19,19kb,216,226,307,408,579,747,,19,19kb,124,130,179,252,362,519,,19,19kb,161,169,189,240,339,558,,19,19kb,212,218,291,373,505,590,,19,19kb,120,122,163,217,288,362,,19,19kb,33,34,31,35,40,51,,19,19kb,248,298,459,718,1203,1995,,19,19kb,156,202,331,562,986,1767,,19,19kb,215,403,760,1461,2912,5761
25,25kb,217,291,370,472,603,775,,25,25kb,124,164,212,286,401,504,,25,25kb,162,174,191,237,352,563,,25,25kb,213,283,354,438,529,619,,25,25kb,120,156,196,252,327,348,,25,25kb,33,35,32,35,43,49,,25,25kb,249,363,522,782,1227,2026,,25,25kb,156,236,364,596,1025,1755,,25,25kb,218,404,761,1468,2932,5736
31,31kb,216,289,373,483,613,795,,31,31kb,124,165,218,292,387,519,,31,31kb,153,169,191,241,343,558,,31,31kb,212,281,357,448,539,639,,31,31kb,120,157,202,257,313,363,,31,31kb,33,34,32,37,42,55,,31,31kb,248,361,525,796,1243,2057,,31,31kb,156,237,370,605,1017,1781,,31,31kb,216,396,770,1467,2914,5751
70,70kb,300,391,564,719,1011,1352,,70,70kb,175,238,358,495,779,1254,,70,70kb,174,200,281,427,709,1319,,70,70kb,282,353,487,563,694,711,,70,70kb,157,200,281,339,462,613,,70,70kb,34,35,37,43,53,64,,70,70kb,317,433,657,911,1397,2129,,70,70kb,192,280,451,687,1165,2031,,70,70kb,217,403,775,1502,2943,5755
83,83kb,299,451,572,777,971,1329,,83,83kb,180,270,381,519,880,1356,,83,83kb,173,201,286,429,724,1325,,83,83kb,280,413,495,621,654,688,,83,83kb,161,232,304,363,563,715,,83,83kb,33,37,37,43,60,69,,83,83kb,316,493,665,970,1359,2107,,83,83kb,197,312,474,712,1268,2134,,83,83kb,218,403,779,1519,2971,5822
120,120kb,371,515,611,787,989,1467,,120,120kb,214,286,405,632,946,1492,,120,120kb,180,203,289,429,724,1348,,120,120kb,352,477,534,631,672,826,,120,120kb,195,248,328,476,629,851,,120,120kb,35,40,42,47,61,80,,120,120kb,388,557,703,979,1375,2243,,120,120kb,231,328,497,824,1332,2268,,120,120kb,224,408,783,1505,2963,5783
168,168kb,441,525,634,939,1015,1476,,168,168kb,252,338,465,730,1012,1663,,168,168kb,176,202,297,440,727,1359,,168,168kb,422,487,557,783,698,835,,168,168kb,233,300,388,574,695,1022,,168,168kb,36,40,46,57,67,100,,168,168kb,458,567,726,1130,1401,2251,,168,168kb,269,380,557,921,1398,2438,,168,168kb,217,409,787,1523,2952,5800
218,218kb,451,579,638,842,1072,1547,,218,218kb,260,359,495,702,1223,1307,,218,218kb,177,209,296,446,737,1378,,218,218kb,432,541,561,686,755,906,,218,218kb,241,321,418,546,906,666,,218,218kb,39,46,43,60,80,120,,218,218kb,468,621,730,1034,1458,2321,,218,218kb,277,401,587,894,1609,2081,,218,218kb,224,411,775,1522,2978,5821
