size,image_quality,1,2,4,8,16,32
14400,160x90,630,1219,1883,3976,10117,17218
16000,160x100,588,1088,1928,4023,10018,17179
19200,160x120,663,1168,1876,4049,9956,16767
43200,240x180,588,1181,1866,4005,10077,17127
57600,320x180,644,1142,1850,3987,10212,17251
64000,320x200,597,1144,1930,3991,10136,17215
76800,320x240,626,1192,1919,4031,9714,17174
129600,480x270,620,1177,1873,4070,10163,17404
144000,480x300,615,1163,1879,4015,10132,17419
172800,480x360,684,1150,1925,4071,10268,17415
230400,640x360,652,1184,1961,4044,10147,17521
256000,640x400,679,1149,1893,3953,10161,17468
307200,640x480,691,1198,1937,4008,10400,17570
360000,800x450,576,1195,1953,4155,10323,18243
400000,800x500,627,1151,1969,4029,10428,18210
480000,800x600,611,1177,1931,4075,10410,18373
589824,1024x576,569,1156,2008,4191,10301,18528
655360,1024x640,585,1199,2071,4207,10410,18677
786432,1024x768,647,1191,1989,4211,10531,18807
921600,1280x720,626,1174,2006,4243,11101,18855
1024000,1280x800,681,1224,2044,4262,11194,18983
1228800,1280x960,669,1180,2027,4281,11385,19224
1296000,1440x900,679,1175,2088,4368,11383,19263
1555200,1440x1080,632,1269,2134,4488,11471,19872
2073600,1920x1080,619,1384,2152,5076,13089,22349
