size,image_quality,1,2,4,8,16,32
14400,160x90,34,35,36,43,51,58
16000,160x100,34,35,35,43,48,56
19200,160x120,35,33,37,42,54,65
43200,240x180,37,39,42,55,67,90
57600,320x180,38,43,46,55,74,102
64000,320x200,40,44,47,63,79,113
76800,320x240,39,43,51,60,85,124
129600,480x270,45,54,59,82,112,186
144000,480x300,45,52,65,83,124,203
172800,480x360,47,54,68,96,151,248
230400,640x360,48,62,74,114,174,316
256000,640x400,53,71,78,113,195,343
307200,640x480,57,65,88,130,222,388
360000,800x450,56,76,95,148,257,496
400000,800x500,59,79,96,156,273,493
480000,800x600,60,79,113,175,317,608
589824,1024x576,68,97,127,204,375,829
655360,1024x640,68,97,136,228,407,865
786432,1024x768,80,103,153,257,487,1075
921600,1280x720,79,113,172,319,604,1082
1024000,1280x800,89,121,192,321,686,1255
1228800,1280x960,93,131,208,380,797,1433
1296000,1440x900,95,148,222,393,852,1490
1555200,1440x1080,105,160,263,473,952,2062
2073600,1920x1080,122,196,355,680,2483,4601
