size,image_quality,1,2,4,8,16,32
14400,160x90,281,294,432,539,637,797
16000,160x100,281,295,444,549,647,763
19200,160x120,283,359,451,573,674,868
43200,240x180,359,464,573,660,803,1375
57600,320x180,420,518,641,659,816,1003
64000,320x200,419,551,705,719,997,2137
76800,320x240,439,570,587,708,924,1080
129600,480x270,500,600,671,782,929,1243
144000,480x300,501,617,710,799,1017,1301
172800,480x360,568,644,769,823,1022,1983
230400,640x360,631,700,849,864,1147,2982
256000,640x400,612,704,1077,1966,1167,3538
307200,640x480,624,710,803,990,1772,2009
360000,800x450,720,768,1559,1068,1437,3967
400000,800x500,692,706,806,1130,1547,2531
480000,800x600,800,710,899,1193,1678,2982
589824,1024x576,854,1292,1659,1256,3621,3487
655360,1024x640,1040,797,1310,1793,2048,3901
786432,1024x768,956,1052,1045,1485,2429,4299
921600,1280x720,703,838,1098,1575,3216,4840
1024000,1280x800,780,864,1120,1747,3036,5226
1228800,1280x960,791,1118,1255,1949,3527,6232
1296000,1440x900,828,965,1369,1993,3632,6531
1555200,1440x1080,812,1037,1439,2348,4204,7737
2073600,1920x1080,901,1127,2218,3043,5259,10504
