size,image_quality,1,2,4,8,16,32
14400,160x90,2389,4635,9249,18402,36327,72246
19200,160x120,1937,3779,7424,14679,29221,57987
25344,176x144,1796,3542,6883,13766,26944,55238
43200,240x180,2041,3952,7722,15226,30240,60123
57600,320x180,2475,4778,9307,18482,36687,72622
76800,320x240,2098,4033,7707,15178,30483,60420
129600,480x270,2587,4907,9574,18954,37223,73678
172800,480x360,2172,4121,8024,15655,30554,60687
230400,640x360,2601,5032,9683,18481,37446,73768
307200,640x480,2265,4192,8214,15835,31020,61061
360000,800x450,2730,5154,9740,19212,37681,74090
480000,800x600,2388,4409,8410,16124,31467,61667
655360,1024x640,2727,5237,9921,19237,37241,73545
786432,1024x768,2489,4511,8374,16472,31952,60937
921600,1280x720,2942,5467,10170,19769,37950,75217
1024000,1280x800,2675,5550,10156,19580,37887,74352
1228800,1280x960,2660,4945,8943,16780,32274,63252
