Nearest,Linear,Cubic,Area,Lanczos4
0.1,0.08115362328037587,0.4444223310125276,0.3984463228428934,0.11695306947214772,0.33325953480215775
0.2,0.2200087846752528,0.6339682587946817,0.6261168381500665,0.35099537369650674,0.601592684667871
0.3,0.5701473784570626,0.7316029177661197,0.7169231043383154,0.6772376185897594,0.6996625120153201
0.4,0.697066160991823,0.7568558053771774,0.7524896593563696,0.7566174792584134,0.7370216920172145
0.5,0.7682479043816027,0.7713431408542594,0.7838955565817693,0.7811540346906726,0.7768411124830228
0.6,0.7512965710954854,0.7833668058802018,0.7886752176810483,0.7827397942235321,0.7871360525659022
0.7,0.77321387261544,0.7825707173682424,0.7885565552109302,0.7817737615199811,0.7878800265305828
0.8,0.7775625641697447,0.7825041148614184,0.7908744898647523,0.7822561648158566,0.7923630033313397
0.9,0.7878745028806378,0.7871660345066056,0.7902344904374188,0.7826590810969042,0.7899007354861474
1,0.7920452581433591,0.7920452581433591,0.7920452581433591,0.7920452581433591,0.7920452581433591
original,0.8019257545573325,0.8019257545573325,0.8019257545573325,0.8019257545573325,0.8019257545573325
