size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32
11,11kb,74,132,249,504,1266,2747,,11,11kb,610,1173,1676,3040,11699,14579,,11,11kb,182,350,690,1404,3495,7613,,11,11kb,654,1157,1877,3914,9993,17229,,11,11kb,2248,4497,8984,17978,36010,71950,,11,11kb,5162,10303,21245,41560,83721,169110
13,13kb,75,133,251,508,1219,2757,,13,13kb,640,1212,1696,3099,11654,14585,,13,13kb,182,351,692,1407,3455,7615,,13,13kb,605,1113,1849,3927,10057,17250,,13,13kb,2252,4496,9004,18015,36019,71970,,13,13kb,4932,10385,21279,42582,83656,168996
19,19kb,75,132,251,508,1246,2763,,19,19kb,687,1115,1649,3089,11621,14539,,19,19kb,182,350,692,1407,3463,7627,,19,19kb,596,1164,1819,3813,10036,17650,,19,19kb,2252,4505,9020,18032,36052,72132,,19,19kb,5039,10431,20773,41813,83430,167621
25,25kb,75,133,251,508,1237,2763,,25,25kb,692,1275,1683,3140,11661,14541,,25,25kb,182,352,693,1406,3467,7636,,25,25kb,557,1164,1915,3896,9984,17291,,25,25kb,2254,4505,9020,18042,36088,72227,,25,25kb,4916,10540,21096,41696,84347,166443
31,31kb,75,133,250,507,1221,2757,,31,31kb,725,1235,1714,3183,11660,14557,,31,31kb,183,352,692,1409,3461,7629,,31,31kb,591,1160,1926,3913,10046,17294,,31,31kb,2265,4515,9031,18055,36105,72293,,31,31kb,4959,10381,21128,42444,83248,167395
70,70kb,90,162,312,630,1483,3244,,70,70kb,655,1147,1791,3340,10622,12645,,70,70kb,183,351,693,1410,3462,7636,,70,70kb,524,1128,1841,4423,10580,17754,,70,70kb,2254,4509,9029,18050,36068,72215,,70,70kb,5023,9895,20568,42352,84134,167589
83,83kb,90,162,311,630,1480,3238,,83,83kb,704,1300,1715,3373,10590,12583,,83,83kb,182,351,693,1407,3469,7635,,83,83kb,567,1118,1877,4369,10581,17664,,83,83kb,2258,4513,9035,18089,36154,72274,,83,83kb,4997,10464,21024,41535,83408,169391
120,120kb,90,163,312,632,1462,3253,,120,120kb,747,1269,1793,3395,10572,12470,,120,120kb,183,351,692,1410,3462,7636,,120,120kb,555,1117,1865,4521,10622,17817,,120,120kb,2263,4524,9047,18106,36227,72499,,120,120kb,5103,10230,20979,42257,83625,170488
168,168kb,90,162,312,632,1481,3251,,168,168kb,673,1167,1780,3359,10471,12382,,168,168kb,182,351,694,1408,3463,7628,,168,168kb,550,1097,1823,4458,10542,17771,,168,168kb,2260,4518,9051,18109,36181,72399,,168,168kb,5134,10269,21081,42383,83367,168404
218,218kb,90,163,312,631,1480,3249,,218,218kb,696,1198,1723,3352,10408,12239,,218,218kb,182,351,693,1407,3468,7628,,218,218kb,596,1082,1897,4424,10521,17767,,218,218kb,2256,4522,9044,18074,36146,72430,,218,218kb,5011,10080,21177,42392,83214,167146
