size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32
14400,160x90,266,277,411,486,566,618,,14400,160x90,141,151,224,274,313,412,,14400,160x90,10,11,15,23,29,37
16000,160x100,269,274,422,504,567,672,,16000,160x100,142,155,228,286,313,400,,16000,160x100,10,11,14,23,26,35
19200,160x120,271,336,454,505,625,719,,19200,160x120,146,185,246,294,358,501,,19200,160x120,11,12,16,22,33,44
43200,240x180,344,447,537,657,699,973,,43200,240x180,182,258,296,376,505,847,,43200,240x180,13,18,21,35,46,69
57600,320x180,404,491,613,708,1027,839,,57600,320x180,212,277,365,379,451,701,,57600,320x180,14,19,25,35,53,80
64000,320x200,410,488,672,663,707,1937,,64000,320x200,226,283,398,504,761,1031,,64000,320x200,16,20,26,43,57,92
76800,320x240,424,537,597,662,796,934,,76800,320x240,233,305,399,366,701,1049,,76800,320x240,15,22,30,40,62,102
129600,480x270,496,551,647,733,842,1545,,129600,480x270,301,363,527,758,1011,1268,,129600,480x270,21,30,38,62,91,164
144000,480x300,503,612,683,757,860,1133,,144000,480x300,287,337,529,735,1010,1355,,144000,480x300,21,28,44,63,102,182
172800,480x360,547,621,670,833,953,1328,,172800,480x360,327,429,578,795,1048,1555,,172800,480x360,24,34,48,76,129,227
230400,640x360,569,619,688,860,1473,1463,,230400,640x360,370,503,722,802,1312,1707,,230400,640x360,25,38,54,94,152,295
256000,640x400,556,677,747,1000,1805,1595,,256000,640x400,399,537,395,1066,1193,1841,,256000,640x400,30,47,58,93,173,322
307200,640x480,616,696,762,927,1197,1794,,307200,640x480,383,563,825,1171,1475,1864,,307200,640x480,34,45,68,110,200,367
360000,800x450,602,672,804,1001,1305,2064,,360000,800x450,436,494,797,1190,1437,1694,,360000,800x450,33,52,75,128,235,474
400000,800x500,675,1087,780,993,1372,2675,,400000,800x500,462,600,1115,1235,1642,2238,,400000,800x500,36,55,76,136,251,472
480000,800x600,768,895,982,1064,1567,3940,,480000,800x600,526,775,722,1330,1753,2359,,480000,800x600,37,59,93,155,295,587
589824,1024x576,613,733,1400,1663,1804,4819,,589824,1024x576,547,796,963,1428,1739,2404,,589824,1024x576,45,73,107,184,352,808
655360,1024x640,755,743,918,1690,1938,3362,,655360,1024x640,516,756,1149,1518,1913,2685,,655360,1024x640,45,74,116,208,385,844
786432,1024x768,814,800,1605,1785,2218,3905,,786432,1024x768,615,925,1147,1558,2161,2885,,786432,1024x768,57,83,133,237,465,1054
921600,1280x720,736,863,2426,3006,3262,5281,,921600,1280x720,730,751,1306,1641,2026,3296,,921600,1280x720,56,90,152,299,582,1060
1024000,1280x800,737,864,2269,1628,2784,4881,,1024000,1280x800,685,781,1313,1748,2500,3431,,1024000,1280x800,66,98,172,301,664,1234
1228800,1280x960,733,1197,2678,1853,3285,5772,,1228800,1280x960,780,1187,1463,1788,2439,3846,,1228800,1280x960,70,111,188,360,775,1411
1296000,1440x900,761,877,1269,1858,3453,6278,,1296000,1440x900,647,1166,1530,1903,2587,3692,,1296000,1440x900,72,125,202,373,830,1468
1555200,1440x1080,817,1018,1349,2203,3900,7280,,1555200,1440x1080,851,1174,1191,1976,2879,4667,,1555200,1440x1080,82,140,243,453,929,2040
2073600,1920x1080,1431,1414,1684,2888,4947,10456,,2073600,1920x1080,808,1442,1825,2327,3472,6590,,2073600,1920x1080,99,173,335,660,2461,4580
