size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32
11,11kb,217,339,520,792,1680,3276,,11,11kb,155,247,397,668,1495,3074,,11,11kb,670,1207,1725,3079,11715,14681,,11,11kb,324,556,963,1693,4056,8152,,11,11kb,262,464,840,1569,3871,7950,,11,11kb,683,1178,1934,3939,10043,17490,,11,11kb,2383,4691,9272,18226,36447,72305,,11,11kb,2321,4599,9149,18102,36262,72103,,11,11kb,5108,10370,21074,41740,84121,168617
13,13kb,276,342,527,862,1684,3315,,13,13kb,184,247,401,705,1495,3077,,13,13kb,688,1212,1754,3131,11679,14912,,13,13kb,383,559,968,1761,3901,8179,,13,13kb,291,464,842,1604,3712,7941,,13,13kb,663,1141,1853,3941,10085,17671,,13,13kb,2446,4697,9258,18321,36379,72408,,13,13kb,2354,4602,9132,18164,36190,72170,,13,13kb,4937,10349,21118,42475,84228,169668
19,19kb,278,340,530,886,1744,3336,,19,19kb,185,247,406,712,1532,3093,,19,19kb,747,1150,1672,3147,11672,14614,,19,19kb,385,559,972,1787,3961,8214,,19,19kb,292,466,848,1613,3749,7971,,19,19kb,667,1171,1859,3849,10061,17611,,19,19kb,2452,4709,9273,18370,36483,72553,,19,19kb,2359,4616,9149,18196,36271,72310,,19,19kb,5008,10365,20792,41665,83391,167677
25,25kb,281,405,594,926,1783,3349,,25,25kb,186,280,441,750,1551,3122,,25,25kb,707,1276,1699,3167,11729,14599,,25,25kb,388,624,1036,1826,4002,8230,,25,25kb,293,499,883,1650,3770,8003,,25,25kb,591,1154,1936,4049,10029,17392,,25,25kb,2455,4771,9345,18421,36561,72619,,25,25kb,2360,4646,9192,18245,36329,72392,,25,25kb,4921,10486,20901,41654,83590,167233
31,31kb,281,405,600,943,1790,3390,,31,31kb,187,281,444,761,1562,3136,,31,31kb,729,1206,1757,3243,11700,14626,,31,31kb,389,625,1043,1845,4011,8265,,31,31kb,295,501,887,1663,3783,8011,,31,31kb,603,1182,1928,3976,10142,17475,,31,31kb,2462,4780,9360,18449,36580,73786,,31,31kb,2368,4656,9204,18267,36352,73532,,31,31kb,5039,10313,21111,42136,83669,168828
70,70kb,360,515,778,1208,2115,4073,,70,70kb,239,359,581,965,1918,3794,,70,70kb,696,1249,1819,3422,10702,12831,,70,70kb,453,705,1158,1987,4090,8470,,70,70kb,332,549,961,1744,3893,8191,,70,70kb,585,1160,1909,4505,10650,17943,,70,70kb,2520,4851,9454,18572,36627,72812,,70,70kb,2399,4695,9257,18329,36430,72533,,70,70kb,5056,9980,20647,42468,83551,167427
83,83kb,366,572,813,1224,2233,4175,,83,83kb,241,392,593,974,1956,3796,,83,83kb,756,1320,1778,3418,10691,13326,,83,83kb,458,761,1194,2003,4211,8576,,83,83kb,333,581,974,1753,3934,8197,,83,83kb,621,1175,1919,4412,10695,18439,,83,83kb,2526,4915,9517,18621,36810,73050,,83,83kb,2401,4735,9297,18371,36533,72671,,83,83kb,4945,10420,20836,41803,83063,169933
120,120kb,432,599,819,1228,2285,4288,,120,120kb,277,411,631,1016,1993,3932,,120,120kb,788,1325,1843,3493,10723,12692,,120,120kb,525,787,1200,2007,4267,8678,,120,120kb,370,599,1012,1795,3975,8322,,120,120kb,618,1154,1933,4593,10746,18051,,120,120kb,2596,4947,9528,18638,36890,73350,,120,120kb,2441,4759,9340,18426,36598,72994,,120,120kb,5095,10111,21104,42549,84354,170238
168,168kb,502,636,915,1329,2257,4222,,168,168kb,317,448,669,1100,2138,4052,,168,168kb,743,1230,2321,3464,11943,13130,,168,168kb,595,825,1297,2107,4231,8610,,168,168kb,410,637,1051,1878,4112,8440,,168,168kb,607,1156,2372,4506,12024,18516,,168,168kb,2666,4981,9619,18744,36852,73114,,168,168kb,2481,4793,9373,18515,36733,72944,,168,168kb,5157,10375,21509,41959,85101,168797
218,218kb,526,678,920,1412,2279,4711,,218,218kb,325,470,664,1108,2111,4156,,218,218kb,768,1236,1863,3476,10601,12598,,218,218kb,618,866,1301,2190,4255,9103,,218,218kb,417,658,1045,1886,4087,8548,,218,218kb,610,1146,1988,4519,10711,18134,,218,218kb,2695,5026,9632,18817,36881,73904,,218,218kb,2494,4818,9376,18513,36713,73349,,218,218kb,5021,10201,21076,42318,83761,168811
