size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32,Empty_Column,size,image_quality,1,2,4,8,16,32
11,11kb,154,221,293,324,499,669,,11,11kb,92,129,170,200,314,467,,11,11kb,166,170,180,233,319,569,,11,11kb,152,215,281,299,442,547,,11,11kb,90,123,158,175,257,345,,11,11kb,40,38,33,47,49,128,,11,11kb,186,294,448,641,1140,1947,,11,11kb,124,202,325,517,955,1745,,11,11kb,224,403,766,1470,2929,5816
13,13kb,214,226,301,397,531,720,,13,13kb,122,131,175,240,342,482,,13,13kb,171,188,196,250,349,812,,13,13kb,210,218,285,365,460,573,,13,13kb,118,123,159,208,271,335,,13,13kb,41,49,41,47,52,331,,13,13kb,246,298,453,710,1158,1980,,13,13kb,154,203,327,553,969,1742,,13,13kb,227,416,775,1473,2985,6091
19,19kb,216,225,305,424,583,749,,19,19kb,123,132,181,250,371,506,,19,19kb,172,179,196,257,361,612,,19,19kb,212,217,289,390,509,592,,19,19kb,119,124,165,216,297,349,,19,19kb,43,43,39,53,60,103,,19,19kb,248,297,457,735,1208,1998,,19,19kb,155,204,333,561,996,1755,,19,19kb,228,412,770,1479,2954,5803
25,25kb,219,289,368,463,626,762,,25,25kb,124,164,215,287,394,535,,25,25kb,174,183,202,252,390,605,,25,25kb,216,281,352,429,552,605,,25,25kb,121,156,199,253,320,378,,25,25kb,44,46,40,48,82,93,,25,25kb,251,361,520,774,1251,2013,,25,25kb,156,236,367,598,1019,1786,,25,25kb,229,416,773,1483,3090,5843
31,31kb,219,290,375,480,638,802,,31,31kb,125,166,219,298,410,548,,31,31kb,152,176,203,275,376,600,,31,31kb,215,282,359,446,564,646,,31,31kb,121,158,203,264,336,392,,31,31kb,43,42,42,70,72,98,,31,31kb,251,362,527,793,1268,2065,,31,31kb,157,238,371,611,1040,1811,,31,31kb,228,407,778,1502,2949,5791
70,70kb,298,400,551,743,957,1487,,70,70kb,177,244,354,500,760,1208,,70,70kb,181,207,309,470,756,1461,,70,70kb,280,362,474,588,640,845,,70,70kb,159,206,277,345,443,566,,70,70kb,39,53,69,82,96,198,,70,70kb,315,442,644,935,1344,2265,,70,70kb,194,286,447,692,1147,1986,,70,70kb,225,422,806,1542,2978,5913
83,83kb,304,457,587,760,1077,1592,,83,83kb,179,277,367,510,800,1213,,83,83kb,189,208,312,456,788,2004,,83,83kb,286,419,510,605,760,950,,83,83kb,161,239,290,355,483,571,,83,83kb,47,53,60,71,122,744,,83,83kb,321,499,680,953,1465,2371,,83,83kb,196,319,460,703,1188,1992,,83,83kb,232,423,805,1543,3044,6614
120,120kb,370,483,593,763,1136,1701,,120,120kb,215,295,405,551,844,1345,,120,120kb,188,226,322,500,837,1507,,120,120kb,352,445,516,607,819,1059,,120,120kb,197,257,328,395,527,703,,120,120kb,44,67,72,115,170,248,,120,120kb,387,525,686,955,1523,2477,,120,120kb,232,337,498,743,1231,2121,,120,120kb,233,436,813,1575,3105,5983
168,168kb,440,521,689,864,1099,1633,,168,168kb,255,333,443,635,980,1463,,168,168kb,193,217,812,504,2154,2022,,168,168kb,422,483,612,709,782,991,,168,168kb,237,295,366,480,663,821,,168,168kb,50,61,557,115,1492,760,,168,168kb,457,563,781,1056,1486,2409,,168,168kb,272,375,535,827,1367,2239,,168,168kb,235,432,1298,1586,4434,6552
218,218kb,464,562,694,947,1120,2122,,218,218kb,263,354,438,643,952,1567,,218,218kb,196,216,353,530,879,1634,,218,218kb,446,524,617,792,803,1480,,218,218kb,245,316,361,488,635,925,,218,218kb,56,63,100,143,220,379,,218,218kb,481,604,786,1139,1507,2897,,218,218kb,280,396,530,835,1339,2342,,218,218kb,242,431,834,1607,3148,6081
